Dates,1,2,3,4,5,6,7,8
1979-06-06,21.045,21.045,21.045,21.045,21.045,21.045,21.045,21.045
1979-06-07,19.667,19.667,19.667,19.667,19.667,19.667,19.667,19.667
1979-06-08,19.724,19.724,19.724,19.724,19.724,19.724,19.724,19.724
1979-06-09,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38
1979-06-10,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1
1979-06-11,21.523,21.523,21.523,21.523,21.523,21.523,21.523,21.523
1979-06-12,22.051,22.051,22.051,22.051,22.051,22.051,22.051,22.051
1979-06-13,22.89,22.89,22.89,22.89,22.89,22.89,22.89,22.89
1979-06-14,22.988,22.988,22.988,22.988,22.988,22.988,22.988,22.988
1979-06-15,22.917,22.917,22.917,22.917,22.917,22.917,22.917,22.917
1979-06-16,21.394,21.394,21.394,21.394,21.394,21.394,21.394,21.394
1979-06-17,23.129,23.129,23.129,23.129,23.129,23.129,23.129,23.129
1979-06-18,23.234,23.234,23.234,23.234,23.234,23.234,23.234,23.234
1979-06-19,22.949,22.949,22.949,22.949,22.949,22.949,22.949,22.949
1979-06-20,22.172,22.172,22.172,22.172,22.172,22.172,22.172,22.172
1979-06-21,21.761,21.761,21.761,21.761,21.761,21.761,21.761,21.761
1979-06-22,22.008,22.008,22.008,22.008,22.008,22.008,22.008,22.008
1979-06-23,21.599,21.599,21.599,21.599,21.599,21.599,21.599,21.599
1979-06-24,22.191,22.191,22.191,22.191,22.191,22.191,22.191,22.191
1979-06-25,23.801,23.801,23.801,23.801,23.801,23.801,23.801,23.801
1979-06-26,23.015,23.015,23.015,23.015,23.015,23.015,23.015,23.015
1979-06-27,24.313,24.313,24.313,24.313,24.313,24.313,24.313,24.313
1979-06-28,23.029,23.029,23.029,23.029,23.029,23.029,23.029,23.029
1979-06-29,23.823,23.823,23.823,23.823,23.823,23.823,23.823,23.823
1979-06-30,21.144,21.144,21.144,21.144,21.144,21.144,21.144,21.144
1979-07-01,22.814,22.814,22.814,22.814,22.814,22.814,22.814,22.814
1979-07-02,23.613,23.613,23.613,23.613,23.613,23.613,23.613,23.613
1979-07-03,23.152,23.152,23.152,23.152,23.152,23.152,23.152,23.152
1979-07-04,23.364,23.364,23.364,23.364,23.364,23.364,23.364,23.364
1979-07-05,22.699,22.699,22.699,22.699,22.699,22.699,22.699,22.699
1979-07-06,21.429,21.429,21.429,21.429,21.429,21.429,21.429,21.429
1979-07-07,23.024,23.024,23.024,23.024,23.024,23.024,23.024,23.024
1979-07-08,23.402,23.402,23.402,23.402,23.402,23.402,23.402,23.402
